"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3329","Who can get influenza? 
All ages, both sex, but children and pregnant mothers have high risk. Vaccines can help to… https://t.co/quoit0vfgY",FALSE,0,NA,2018-02-27 07:33:15,TRUE,NA,"968388544300449792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nishatalwar",0,FALSE,FALSE,NA,NA
"3330","What is Influenza?
Flu like illness can be caused by many different viruses. Influenza A/H1N1 (earlier called ‘Swin… https://t.co/yRhziLk1AE",FALSE,1,NA,2018-02-27 07:31:56,TRUE,NA,"968388214431125504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nishatalwar",1,FALSE,FALSE,NA,NA
"3331","We treated influenza as common cold, we realised these two are very different.  @geneliad at #MomVsFlu https://t.co/dtheqgDEos",FALSE,1,NA,2018-02-27 07:30:32,FALSE,NA,"968387860343685120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nishatalwar",1,FALSE,FALSE,NA,NA
"3332","""Influenza Peak"" 15 public hospital beds fully packed https://t.co/dH9SkSc22a :Auto pickup by wikyou",FALSE,0,NA,2018-02-27 07:28:03,FALSE,NA,"968387234343931904",NA,"<a href=""http://wikyou.org.uk"" rel=""nofollow"">TranslaNewsHkEn auto post</a>","TranslaNewsHkEn",0,FALSE,FALSE,NA,NA
"3333","<U+590F>:<U+6700><U+8FD1><U+3001><U+51AC><U+304C><U+4FFA><U+306E><U+4E8B><U+3092><U+30CA><U+30E1><U+3066><U+308B><U+3093><U+3058><U+3083><U+306A><U+3044><U+304B><U+3001><U+3068><U+601D><U+3063><U+305F><U+306E><U+3067><U+30E1><U+30FC><U+30EB><U+30A2><U+30C9><U+30EC><U+30B9><U+3092><U+300C>fuyu_sonkei_shiro<U+300D><U+306B><U+3057><U+3066>2<U+9031><U+9593>……
<U+3064><U+3044><U+3055><U+3063><U+304D><U+3001><U+51AC><U+304B><U+3089><U+304D><U+305F><U+30E1><U+30FC><U+30EB><U+30A2><U+30C9><U+30EC><U+30B9><U+304C><U+300C>influenza_namini_uzai<U+300D><U+306B><U+5909><U+66F4><U+3055><U+308C><U+3066><U+3044><U+308B><U+3053><U+3068><U+306B><U+6C17><U+4ED8><U+3044><U+305F>",FALSE,0,NA,2018-02-27 07:26:33,FALSE,NA,"968386857749893120",NA,"<a href=""http://rakubots.kissa.jp/"" rel=""nofollow"">rakubo2</a>","Seasons__bot",0,FALSE,FALSE,NA,NA
"3334","@FixYourLife A strong influenza or some minor strep throat. Bout to rock this caddy like Mark Jackson’s brother on the and1 tour",FALSE,3,"FixYourLife",2018-02-27 07:14:57,FALSE,"968351729619218432","968383937486774278","30102941","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","griffinglover",0,FALSE,FALSE,NA,NA
"3335","<U+C5B4><U+ADFC><U+B370> AI <U+B73B><U+BB3C><U+C5B4><U+BCF4><U+BA74> <U+B9E8><U+CC98><U+C74C><U+C73C><U+B85C> Artificial Intelligence <U+C0DD><U+AC01><U+D558><U+ACE0> <U+ADF8><U+B2F4><U+C5D0> Avian Influenza <U+B098><U+C624><U+C9C0><U+C54A><U+B098> <U+C5B4><U+CF00> <U+C77C><U+B7EC><U+C2A4><U+D2B8><U+B808><U+C774><U+D130><U+AC00><U+B098><U+C624><U+C9C0> <U+AC1C><U+C2E0><U+AE30>",FALSE,2,NA,2018-02-27 07:13:40,FALSE,NA,"968383616437948419",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rlaaks_",1,FALSE,FALSE,NA,NA
"3336","Influenza tosta mi ha preso già 2 volte.",FALSE,0,NA,2018-02-27 07:11:55,FALSE,NA,"968383173934624769",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","elabdino",0,FALSE,FALSE,NA,NA
"3337","It’s here... confirmed canine influenza in Grant’s Pass area after the pup traveled to Nevada where there is a... https://t.co/zsXUpTQCsg",FALSE,0,NA,2018-02-27 07:11:25,FALSE,NA,"968383048726253568",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Murrayhill_Vet",0,FALSE,FALSE,NA,NA
"3338","Salute: Burian e influenza affolleranno studi medici, ecco chi rischia di più (https://t.co/4Hjfp0nmzW)… https://t.co/BqJDufVJ5I",FALSE,0,NA,2018-02-27 07:09:14,TRUE,NA,"968382500018978816",NA,"<a href=""http://www.informazione.it"" rel=""nofollow"">Tweet Informazione</a>","infoitsalute",0,FALSE,FALSE,NA,NA
