"","lon","lat"
"1193",-121.5674229,45.6675866
"1194",NA,NA
"1195",-85.5107246,37.2740494
"1196",-73.087749,41.6032207
"1197",-86.9080655,40.4258686
"1198",NA,NA
"1199",-95.7657864,39.0335157
"1200",-73.9940023,40.7191435
"1201",-51.92528,-14.235004
"1202",NA,NA
"1203",-51.1796683,-29.1634031
"1204",-96.7898034,46.8771863
"1205",-120.5542012,43.8041334
"1206",-83.7490053,42.2792085
"1207",-74.3118212,39.9652553
"1208",NA,NA
"1209",38.2917651,55.340396
"1210",-43.1728965,-22.9068467
"1211",-107.4338866,32.4507852
"1212",-43.1728965,-22.9068467
"1213",120.9589699,14.2990183
"1214",NA,NA
"1215",-43.1728965,-22.9068467
"1216",NA,NA
"1217",-86.5804473,35.5174913
"1218",NA,NA
"1219",-96.3344068,30.627977
"1220",-43.4685442,-22.8742263
"1221",-117.9972199,33.857801
"1222",-83.7407217,30.8901919
"1223",-107.4338866,32.4507852
"1224",-3.435973,55.378051
"1225",NA,NA
"1226",-70.2553259,43.661471
"1227",-118.2436849,34.0522342
"1228",-43.1728965,-22.9068467
"1229",6.477635,46.373565
"1230",-46.618098,-23.5580858
"1231",-115.1398296,36.1699412
"1232",-43.1728965,-22.9068467
"1233",NA,NA
"1234",NA,NA
"1235",-74.0059728,40.7127753
"1236",-95.370026,35.7475692
"1237",NA,NA
"1238",NA,NA
"1239",-117.0521921,32.9348771
"1240",-87.7015822,41.7722584
"1241",NA,NA
"1242",-97.3307658,32.7554883
"1243",NA,NA
"1244",NA,NA
"1245",NA,NA
"1246",NA,NA
"1247",-110.926479,32.2217429
"1248",-75.1652215,39.9525839
"1249",NA,NA
"1250",NA,NA
"1251",8.675277,9.081999
"1252",NA,NA
"1253",-43.1728965,-22.9068467
"1254",-74.0059728,40.7127753
"1255",-89.2167501,37.7272727
"1256",NA,NA
"1257",-82.9987942,39.9611755
"1258",NA,NA
"1259",-51.1694049,-29.1610834
"1260",-77.0368707,38.9071923
"1261",NA,NA
"1262",-43.1728965,-22.9068467
"1263",-77.9927651,35.3848841
"1264",-118.0075383,34.1065965
"1265",28.0473051,-26.2041028
"1266",-81.5157535,27.6648274
"1267",-43.1728965,-22.9068467
"1268",-122.4194155,37.7749295
"1269",-77.4146876,42.7481821
"1270",-94.6858998,46.729553
"1271",NA,NA
"1272",-98.4936282,29.4241219
"1273",NA,NA
"1274",NA,NA
"1275",174.885971,-40.900557
"1276",-95.712891,37.09024
"1277",NA,NA
"1278",NA,NA
"1279",-95.712891,37.09024
"1280",-1.829833,52.4750743
"1281",-86.7816016,36.1626638
"1282",-84.372824,33.746638
"1283",NA,NA
"1284",NA,NA
"1285",NA,NA
"1286",-43.18473,-22.9332067
"1287",NA,NA
"1288",-73.977617,40.7762676
"1289",-77.0947092,38.984652
"1290",NA,NA
"1291",-43.18473,-22.9332067
"1292",-73.8648268,40.8447819
"1293",-81.3852595,30.2400058
"1294",NA,NA
"1295",NA,NA
"1296",-69.9312117,18.4860575
"1297",-93.6091064,41.6005448
"1298",NA,NA
"1299",NA,NA
"1300",-43.1728965,-22.9068467
"1301",-0.1277583,51.5073509
"1302",-1.9823238,51.7933526
"1303",-74.1637553,40.8584328
"1304",-97.5164276,35.4675602
"1305",NA,NA
"1306",NA,NA
"1307",NA,NA
"1308",-43.3164181,-23.0130399
"1309",NA,NA
"1310",-43.1728965,-22.9068467
"1311",NA,NA
"1312",-43.1728965,-22.9068467
"1313",NA,NA
"1314",NA,NA
"1315",-117.1610838,32.715738
"1316",-70.9264393,43.1339545
"1317",-73.4540111,41.394817
"1318",-104.990251,39.7392358
"1319",-77.0368707,38.9071923
"1320",NA,NA
"1321",-2.1973557,49.715004
"1322",-75.6971931,45.4215296
"1323",-81.169977,34.090332
"1324",NA,NA
"1325",-82.566645,30.176485
"1326",-122.6764815,45.5230622
"1327",-75.1652215,39.9525839
"1328",-122.3320708,47.6062095
"1329",NA,NA
"1330",NA,NA
"1331",-43.1728965,-22.9068467
"1332",NA,NA
"1333",NA,NA
"1334",NA,NA
"1335",-79.385975,43.654262
"1336",NA,NA
